Rank,Release Group,Worldwide,Domestic,%,Foreign,%
30,District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%
31,The Ugly Truth,"$205,298,907","$88,915,214",43.3%,"$116,383,693",56.7%
32,Paranormal Activity,"$193,355,800","$107,918,810",55.8%,"$85,436,990",44.2%
33,The Final Destination,"$186,167,139","$66,477,700",35.7%,"$119,689,439",64.3%
34,Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%
35,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.8%,"$37,012,251",20.2%
36,He's Just Not That Into You,"$178,866,158","$93,953,653",52.5%,"$84,912,505",47.5%
37,Couples Retreat,"$171,844,840","$109,204,945",63.5%,"$62,639,895",36.5%
38,Up in the Air,"$166,842,739","$83,823,381",50.2%,"$83,019,358",49.8%
39,Hannah Montana: The Movie,"$155,545,279","$79,576,189",51.2%,"$75,969,090",48.8%
40,The Taking of Pelham 123,"$150,166,126","$65,452,312",43.6%,"$84,713,814",56.4%
41,Brüno,"$138,805,831","$60,054,530",43.3%,"$78,751,301",56.7%
42,17 Again,"$136,316,880","$64,167,069",47.1%,"$72,149,811",52.9%
43,Julie & Julia,"$129,540,522","$94,125,426",72.7%,"$35,415,096",27.3%
44,The Fighter,"$129,190,869","$93,617,009",72.5%,"$35,573,860",27.5%
45,Law Abiding Citizen,"$127,944,208","$73,357,727",57.3%,"$54,586,481",42.7%
46,Coraline,"$124,596,837","$75,286,229",60.4%,"$49,310,608",39.6%
47,Surrogates,"$122,444,772","$38,577,772",31.5%,"$83,867,000",68.5%
48,Invictus,"$122,233,971","$37,491,364",30.7%,"$84,742,607",69.3%
49,Red Cliff II,"$120,432,178",-,-,"$120,432,178",100%
50,Hotel for Dogs,"$117,252,578","$73,034,460",62.3%,"$44,218,118",37.7%
51,The Ugly Truth Slovenian Re-release,"$116,383,693",-,-,"$116,383,693",100%
52,Bride Wars,"$115,375,850","$58,715,510",50.9%,"$56,660,340",49.1%
53,Confessions of a Shopaholic,"$108,394,089","$44,277,350",40.8%,"$64,116,739",59.2%
54,Race to Witch Mountain,"$106,387,141","$67,172,594",63.1%,"$39,214,547",36.9%
55,Planet 51,"$105,647,102","$42,194,060",39.9%,"$63,453,042",60.1%
56,The Girl with the Dragon Tattoo,"$104,414,200","$10,095,170",9.7%,"$94,319,030",90.3%
57,Zombieland,"$102,392,080","$75,590,286",73.8%,"$26,801,794",26.2%
58,Ghosts of Girlfriends Past,"$102,366,815","$55,250,026",54%,"$47,116,789",46%
59,The Time Traveler's Wife,"$101,344,412","$63,414,846",62.6%,"$37,929,566",37.4%
60,My Bloody Valentine,"$100,734,718","$51,545,952",51.2%,"$49,188,766",48.8%
61,Where the Wild Things Are,"$100,140,096","$77,233,467",77.1%,"$22,906,629",22.9%
62,Old Dogs,"$96,753,696","$49,492,060",51.2%,"$47,261,636",48.8%
63,My Sister's Keeper,"$95,714,875","$49,200,230",51.4%,"$46,514,645",48.6%
64,Green Zone,"$94,882,549","$35,053,660",36.9%,"$59,828,889",63.1%
65,The Lovely Bones,"$93,621,340","$44,114,232",47.1%,"$49,507,108",52.9%
66,Underworld: Rise of the Lycans,"$92,158,961","$45,802,315",49.7%,"$46,356,646",50.3%
67,"I Love You, Man","$91,980,359","$71,440,011",77.7%,"$20,540,348",22.3%
68,Friday the 13th,"$91,509,154","$65,002,019",71%,"$26,507,135",29%
69,Drag Me to Hell,"$90,842,646","$42,100,625",46.3%,"$48,742,021",53.7%
70,Madea Goes to Jail,"$90,508,336","$90,508,336",100%,-,-
71,Rookies the Movie: Graduation,"$88,055,243",-,-,"$88,055,243",100%
72,State of Play,"$87,812,371","$37,017,955",42.2%,"$50,794,416",57.8%
73,Did You Hear About the Morgans?,"$85,280,250","$29,580,087",34.7%,"$55,700,163",65.3%
74,Duplicity,"$78,176,181","$40,572,825",51.9%,"$37,603,356",48.1%
75,Orphan,"$77,912,251","$41,596,251",53.4%,"$36,316,000",46.6%
76,The Haunting in Connecticut,"$77,536,359","$55,389,516",71.4%,"$22,146,843",28.6%
77,Fame,"$77,211,836","$22,455,510",29.1%,"$54,756,326",70.9%
78,The Unborn,"$76,514,050","$42,670,410",55.8%,"$33,843,640",44.2%
79,The Pink Panther 2,"$76,025,134","$35,922,978",47.3%,"$40,102,156",52.7%
80,Obsessed,"$73,830,347","$68,261,644",92.5%,"$5,568,703",7.5%
81,Funny People,"$71,585,235","$51,855,045",72.4%,"$19,730,190",27.6%
82,Tidal Wave,"$71,283,278",-,-,"$71,283,278",100%
83,The Men Who Stare at Goats,"$69,095,771","$32,428,195",46.9%,"$36,667,576",53.1%
84,Land of the Lost,"$68,777,554","$49,438,370",71.9%,"$19,339,184",28.1%
85,Saw VI,"$68,234,154","$27,693,292",40.6%,"$40,540,862",59.4%
86,The Girl Who Played with Fire,"$67,153,225","$7,638,241",11.4%,"$59,514,984",88.6%
87,Precious,"$63,649,529","$47,566,524",74.7%,"$16,083,005",25.3%
88,Little Nicholas,"$62,792,067",-,-,"$62,792,067",100%
89,Year One,"$62,357,900","$43,337,279",69.5%,"$19,020,621",30.5%
90,The Imaginarium of Doctor Parnassus,"$61,808,775","$7,689,607",12.4%,"$54,119,168",87.6%
91,Ninja Assassin,"$61,601,280","$38,122,883",61.9%,"$23,478,397",38.1%
92,500 Days of Summer,"$60,722,734","$32,391,374",53.3%,"$28,331,360",46.7%
93,3 Idiots,"$60,262,836","$6,532,874",10.8%,"$53,729,962",89.2%
94,The International,"$60,253,843","$25,450,527",42.2%,"$34,803,316",57.8%
95,Aliens in the Attic,"$57,881,056","$25,200,412",43.5%,"$32,680,644",56.5%
96,Vicky the Viking,"$56,390,258",-,-,"$56,390,258",100%
97,Under the Sea 3D,"$55,902,624","$36,262,926",64.9%,"$19,639,698",35.1%
98,Dragonball Evolution,"$55,720,772","$9,362,785",16.8%,"$46,357,987",83.2%
99,Nine,"$54,004,950","$19,676,965",36.4%,"$34,327,985",63.6%
100,Arthur et la vengeance de Maltazard,"$52,377,611",-,-,"$52,377,611",100%
101,Take Off,"$52,141,043",-,-,"$52,141,043",100%
102,I Can Do Bad All by Myself,"$51,733,921","$51,733,921",100%,-,-
103,Coco Before Chanel,"$50,812,934","$6,113,834",12%,"$44,699,100",88%
104,Pokémon: Arceus and the Jewel of Life,"$50,673,078",-,-,"$50,673,078",100%
105,One Piece: Strong World,"$49,271,461",-,-,"$49,271,461",100%
106,Push,"$48,858,618","$31,811,527",65.1%,"$17,047,091",34.9%
107,9,"$48,428,063","$31,749,894",65.6%,"$16,678,169",34.4%
108,20th Century Boys 3: Redemption,"$48,397,818",-,-,"$48,397,818",100%
109,The Fourth Kind,"$47,709,193","$25,486,040",53.4%,"$22,223,153",46.6%
110,Crazy Heart,"$47,405,566","$39,464,306",83.2%,"$7,941,260",16.8%
111,Hachi: A Dog's Tale,"$46,748,131",-,-,"$46,748,131",100%
112,Fantastic Mr. Fox,"$46,471,023","$21,002,919",45.2%,"$25,468,104",54.8%
113,Zweiohrküken,"$46,439,905",-,-,"$46,439,905",100%
114,The Last House on the Left,"$45,289,053","$32,752,215",72.3%,"$12,536,838",27.7%
115,The Spy Next Door,"$45,236,543","$24,307,086",53.7%,"$20,929,457",46.3%
116,Nodame Cantabile: The Movie II,"$44,879,450",-,-,"$44,879,450",100%
117,Notorious,"$44,420,167","$36,843,682",82.9%,"$7,576,485",17.1%
118,The Girl Who Kicked the Hornet's Nest,"$44,276,335","$5,190,196",11.7%,"$39,086,139",88.3%
119,Brothers,"$43,474,578","$28,544,157",65.7%,"$14,930,421",34.3%
120,The Informant!,"$41,771,168","$33,316,821",79.8%,"$8,454,347",20.2%
121,The Uninvited,"$41,633,384","$28,596,818",68.7%,"$13,036,566",31.3%
122,Toy Story 2009 Re-release,"$41,258,298","$30,702,446",74.4%,"$10,555,852",25.6%
123,Evangelion: 2.0 You Can (Not) Advance,"$41,162,041","$133,640",0.3%,"$41,028,401",99.7%
124,The Concert,"$41,146,351","$657,986",1.6%,"$40,488,365",98.4%
125,Gamer,"$40,828,540","$20,534,907",50.3%,"$20,293,633",49.7%
126,All About Steve,"$40,105,542","$33,862,903",84.4%,"$6,242,639",15.6%
127,Astro Boy,"$39,886,986","$19,551,067",49%,"$20,335,919",51%
128,Detective Conan: The Raven Chaser,"$39,664,359",-,-,"$39,664,359",100%
129,Agora,"$39,457,342","$619,423",1.6%,"$38,837,919",98.4%
130,Halloween II,"$39,421,467","$33,392,973",84.7%,"$6,028,494",15.3%
131,Cirque du Freak: The Vampire's Assistant,"$39,291,383","$13,869,515",35.3%,"$25,421,868",64.7%
132,Jeon Woochi,"$38,681,926",-,-,"$38,681,926",100%
133,The Soloist,"$38,332,994","$31,720,158",82.7%,"$6,612,836",17.3%
134,Amalfi: Rewards of the Goddess,"$37,840,539",-,-,"$37,840,539",100%
135,Broken Embraces,"$37,472,507","$5,014,305",13.4%,"$32,458,202",86.6%
136,Brooklyn's Finest,"$36,440,201","$27,163,593",74.5%,"$9,276,608",25.5%
137,The Boat That Rocked,"$36,348,784","$8,017,917",22.1%,"$28,330,867",77.9%
138,Love Happens,"$36,088,028","$22,965,110",63.6%,"$13,122,918",36.4%
139,Whatever Works,"$36,020,534","$5,306,706",14.7%,"$30,713,828",85.3%
140,The Secret in Their Eyes,"$35,079,650","$6,391,436",18.2%,"$28,688,214",81.8%
141,Crank: High Voltage,"$34,572,541","$13,684,249",39.6%,"$20,888,292",60.4%
142,Gokusen: The Movie,"$34,117,482",-,-,"$34,117,482",100%
143,The Box,"$33,333,531","$15,051,977",45.2%,"$18,281,554",54.8%
144,LOL (Laughing Out Loud) ®,"$32,764,784",-,-,"$32,764,784",100%
145,Fighting,"$32,482,728","$23,091,010",71.1%,"$9,391,718",28.9%
146,The Invention of Lying,"$32,406,507","$18,451,251",56.9%,"$13,955,256",43.1%
147,April Bride,"$32,112,343",-,-,"$32,112,343",100%
148,Jennifer's Body,"$31,556,061","$16,204,793",51.4%,"$15,351,268",48.6%
149,Dance Flick,"$31,439,140","$25,662,155",81.6%,"$5,776,985",18.4%
150,A Serious Man,"$31,430,334","$9,228,768",29.4%,"$22,201,566",70.6%
151,The Stepfather,"$31,198,531","$29,062,561",93.2%,"$2,135,970",6.8%
152,Yatterman,"$30,365,792",-,-,"$30,365,792",100%
153,Natale a Beverly Hills,"$29,976,481",-,-,"$29,976,481",100%
154,Crows Zero II,"$29,893,636",-,-,"$29,893,636",100%
155,20th Century Boys 2: The Last Hope,"$29,502,213",-,-,"$29,502,213",100%
156,The Young Victoria,"$29,181,829","$11,001,272",37.7%,"$18,180,557",62.3%
157,New in Town,"$29,010,817","$16,734,283",57.7%,"$12,276,534",42.3%
158,The Unbroken,"$29,000,322",-,-,"$29,000,322",100%
159,Shorts,"$28,972,508","$20,919,166",72.2%,"$8,053,342",27.8%
160,Pope Joan,"$28,748,076",-,-,"$28,748,076",100%
161,Case 39,"$28,190,603","$13,261,851",47%,"$14,928,752",53%
162,Recep Ivedik 2,"$27,699,692",-,-,"$27,699,692",100%
163,The Road,"$27,639,579","$8,117,000",29.4%,"$19,522,579",70.6%
164,Sorority Row,"$27,206,120","$11,965,282",44%,"$15,240,838",56%
165,Observe and Report,"$26,973,554","$24,007,324",89%,"$2,966,230",11%
166,An Education,"$26,096,852","$12,574,914",48.2%,"$13,521,938",51.8%
167,Coco,"$25,593,707",-,-,"$25,593,707",100%
168,Doraemon the Movie: The New Records of Nobita's Spaceblazer,"$25,422,212",-,-,"$25,422,212",100%
169,Mt. Tsurugidake,"$25,134,437",-,-,"$25,134,437",100%
170,A Single Man,"$24,964,890","$9,176,000",36.8%,"$15,788,890",63.2%
171,Kaiji: Jinsei gyakuten gêmu,"$24,709,016",-,-,"$24,709,016",100%
172,If I Were You 2,"$24,415,116",-,-,"$24,415,116",100%
173,I Give My First Love to You,"$24,051,386",-,-,"$24,051,386",100%
174,Mao's Last Dancer,"$23,914,731","$4,817,770",20.1%,"$19,096,961",79.9%
175,Dark Planet,"$23,772,559",-,-,"$23,772,559",100%
176,Jonas Brothers: The 3D Concert Experience,"$23,186,960","$19,162,740",82.6%,"$4,024,220",17.4%
177,Imagine That,"$22,985,194","$16,123,323",70.1%,"$6,861,871",29.9%
178,Armored,"$22,942,221","$15,988,876",69.7%,"$6,953,345",30.3%
179,A Perfect Getaway,"$22,938,329","$15,515,460",67.6%,"$7,422,869",32.4%
180,Dorian Gray,"$22,873,653",-,-,"$22,873,653",100%
181,Men in the City,"$22,420,615",-,-,"$22,420,615",100%
182,Neuilly Yo Mama!,"$22,243,482",-,-,"$22,243,482",100%
183,OSS 117: Lost in Rio,"$21,924,245","$89,375",0.4%,"$21,834,870",99.6%
184,The Rebound,"$21,791,288",-,-,"$21,791,288",100%
185,My Girlfriend Is an Agent,"$21,056,256",-,-,"$21,056,256",100%
186,Black Lightning,"$20,984,902",-,-,"$20,984,902",100%
187,Love Aaj Kal,"$20,794,985","$2,430,083",11.7%,"$18,364,902",88.3%
188,I Love You Phillip Morris,"$20,768,906","$2,037,459",9.8%,"$18,731,447",90.2%
189,Pandemic,"$20,712,567",-,-,"$20,712,567",100%
190,Pandorum,"$20,648,328","$10,330,853",50%,"$10,317,475",50%
191,My Life in Ruins,"$20,455,482","$8,665,206",42.4%,"$11,790,276",57.6%
192,Cado dalle nubi,"$20,123,466",-,-,"$20,123,466",100%
193,Solomon Kane,"$19,652,185",-,-,"$19,652,185",100%
194,Amelia,"$19,643,086","$14,246,488",72.5%,"$5,396,598",27.5%
195,Drop,"$19,611,028",-,-,"$19,611,028",100%
196,High Security Vacation,"$19,487,557",-,-,"$19,487,557",100%
197,Kamen Rider Decade: All Riders vs. Dai-Shocker,"$19,418,091",-,-,"$19,418,091",100%
198,Ballad,"$19,328,678",-,-,"$19,328,678",100%
199,The White Ribbon,"$19,319,671","$2,222,862",11.5%,"$17,096,809",88.5%
200,Celda 211,"$19,300,483",-,-,"$19,300,483",100%
