Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8%
2,Harry Potter and the Order of the Phoenix,"$941,676,843","$292,004,738",31%,"$649,672,105",69%
3,Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%
4,Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%
5,Transformers,"$709,709,780","$319,246,193",45%,"$390,463,587",55%
6,Ratatouille,"$623,726,085","$206,445,654",33.1%,"$417,280,431",66.9%
7,I Am Legend,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%
8,The Simpsons Movie,"$536,414,270","$183,135,014",34.1%,"$353,279,256",65.9%
9,National Treasure: Book of Secrets,"$459,242,249","$219,964,115",47.9%,"$239,278,134",52.1%
10,300,"$456,068,181","$210,614,939",46.2%,"$245,453,242",53.8%
11,The Bourne Ultimatum,"$444,100,035","$227,471,070",51.2%,"$216,628,965",48.8%
12,Live Free or Die Hard,"$388,156,011","$134,529,403",34.7%,"$253,626,608",65.3%
13,The Golden Compass,"$372,234,864","$70,107,728",18.8%,"$302,127,136",81.2%
14,Alvin and the Chipmunks,"$365,352,546","$217,326,974",59.5%,"$148,025,572",40.5%
15,Enchanted,"$340,487,652","$127,807,262",37.5%,"$212,680,390",62.5%
16,Ocean's Thirteen,"$311,312,624","$117,154,724",37.6%,"$194,157,900",62.4%
17,Fantastic 4: Rise of the Silver Surfer,"$301,913,131","$131,921,738",43.7%,"$169,991,393",56.3%
18,Bee Movie,"$293,514,336","$126,631,277",43.1%,"$166,883,059",56.9%
19,American Gangster,"$269,755,430","$130,164,645",48.3%,"$139,590,785",51.7%
20,Rush Hour 3,"$258,097,122","$140,125,968",54.3%,"$117,971,154",45.7%
21,Wild Hogs,"$253,625,427","$168,273,550",66.3%,"$85,351,877",33.7%
22,Juno,"$232,372,681","$143,495,265",61.8%,"$88,877,416",38.2%
23,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%
24,Ghost Rider,"$228,738,393","$115,802,596",50.6%,"$112,935,797",49.4%
25,Knocked Up,"$219,922,417","$148,768,917",67.6%,"$71,153,500",32.4%
26,Hairspray,"$203,552,922","$118,871,849",58.4%,"$84,681,073",41.6%
27,Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%
28,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.2%,"$67,074,561",35.8%
29,Knowing,"$183,658,498","$79,957,634",43.5%,"$103,700,864",56.5%
30,The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7%
31,Evan Almighty,"$174,440,724","$100,462,298",57.6%,"$73,978,426",42.4%
32,No Country for Old Men,"$171,627,166","$74,283,625",43.3%,"$97,343,541",56.7%
33,Superbad,"$170,812,526","$121,463,226",71.1%,"$49,349,300",28.9%
34,Meet the Robinsons,"$169,333,034","$97,822,171",57.8%,"$71,510,863",42.2%
35,Norbit,"$159,814,490","$95,673,607",59.9%,"$64,140,883",40.1%
36,P.S. I Love You,"$156,835,339","$53,695,808",34.2%,"$103,139,531",65.8%
37,Sweeney Todd: The Demon Barber of Fleet Street,"$153,383,627","$52,898,073",34.5%,"$100,485,554",65.5%
38,Surf's Up,"$152,005,713","$58,867,694",38.7%,"$93,138,019",61.3%
39,The Game Plan,"$147,880,543","$90,648,202",61.3%,"$57,232,341",38.7%
40,Resident Evil: Extinction,"$147,717,833","$50,648,679",34.3%,"$97,069,154",65.7%
41,Music and Lyrics,"$145,896,422","$50,572,589",34.7%,"$95,323,833",65.3%
42,Blades of Glory,"$145,710,347","$118,594,548",81.4%,"$27,115,799",18.6%
43,Saw IV,"$139,352,633","$63,300,095",45.4%,"$76,052,538",54.6%
44,Bridge to Terabithia,"$137,587,063","$82,272,442",59.8%,"$55,314,621",40.2%
45,Stardust,"$137,515,140","$38,634,938",28.1%,"$98,880,202",71.9%
46,1408,"$132,963,417","$71,985,628",54.1%,"$60,977,789",45.9%
47,Atonement,"$131,016,624","$50,927,067",38.9%,"$80,089,557",61.1%
48,Aliens vs. Predator: Requiem,"$130,290,885","$41,797,066",32.1%,"$88,493,819",67.9%
49,The Heartbreak Kid,"$128,453,183","$36,787,257",28.6%,"$91,665,926",71.4%
50,Charlie Wilson's War,"$119,483,446","$66,661,095",55.8%,"$52,822,351",44.2%
51,Disturbia,"$118,114,220","$80,209,692",67.9%,"$37,904,528",32.1%
52,Earth,"$108,975,160","$32,011,576",29.4%,"$76,963,584",70.6%
53,The Water Horse,"$103,967,384","$40,946,255",39.4%,"$63,021,129",60.6%
54,Hitman,"$101,276,318","$39,687,694",39.2%,"$61,588,624",60.8%
55,Fred Claus,"$97,838,349","$72,006,777",73.6%,"$25,831,572",26.4%
56,Teenage Mutant Ninja Turtles IV: Immortal,"$95,797,812","$54,149,098",56.5%,"$41,648,714",43.5%
57,Shooter,"$95,696,996","$47,003,582",49.1%,"$48,693,414",50.9%
58,Michael Clayton,"$92,991,835","$49,033,882",52.7%,"$43,957,953",47.3%
59,No Reservations,"$92,601,050","$43,107,979",46.6%,"$49,493,071",53.4%
60,Fracture,"$92,011,561","$39,015,018",42.4%,"$52,996,543",57.6%
61,Epic Movie,"$87,238,158","$39,739,367",45.6%,"$47,498,791",54.4%
62,The Kingdom,"$87,019,158","$47,536,778",54.6%,"$39,482,380",45.4%
63,La Vie En Rose,"$86,274,793","$10,301,706",11.9%,"$75,973,087",88.1%
64,Zodiac,"$84,785,914","$33,080,084",39%,"$51,705,830",61%
65,Premonition,"$84,146,832","$47,852,604",56.9%,"$36,294,228",43.1%
66,Hannibal Rising,"$82,169,884","$27,670,986",33.7%,"$54,498,898",66.3%
67,Rabbit Without Ears,"$81,744,033",-,-,"$81,744,033",100%
68,Hot Fuzz,"$80,743,363","$23,637,265",29.3%,"$57,106,098",70.7%
69,Halloween,"$80,460,948","$58,272,029",72.4%,"$22,188,919",27.6%
70,The Orphanage,"$78,638,987","$7,161,284",9.1%,"$71,477,703",90.9%
71,The Number 23,"$77,677,553","$35,193,167",45.3%,"$42,484,386",54.7%
72,Next,"$77,621,983","$18,211,013",23.5%,"$59,410,970",76.5%
73,There Will Be Blood,"$76,181,545","$40,222,514",52.8%,"$35,959,031",47.2%
74,Hero,"$76,089,199",-,-,"$76,089,199",100%
75,Elizabeth: The Golden Age,"$75,782,758","$16,383,509",21.6%,"$59,399,249",78.4%
76,30 Days of Night,"$75,513,170","$39,569,000",52.4%,"$35,944,170",47.6%
77,Stomp the Yard,"$75,511,123","$61,356,221",81.3%,"$14,154,902",18.7%
78,Dragon Wars: D-War,"$75,108,817","$10,977,721",14.6%,"$64,131,096",85.4%
79,The Kite Runner,"$75,011,029","$15,800,078",21.1%,"$59,210,951",78.9%
80,Perfect Stranger,"$73,534,117","$23,984,949",32.6%,"$49,549,168",67.4%
81,License to Wed,"$70,181,325","$43,799,818",62.4%,"$26,381,507",37.6%
82,3:10 to Yuma,"$70,016,220","$53,606,916",76.6%,"$16,409,304",23.4%
83,The Brave One,"$69,787,394","$36,793,804",52.7%,"$32,993,590",47.3%
84,Because I Said So,"$69,485,490","$42,674,040",61.4%,"$26,811,450",38.6%
85,Mr. Magorium's Wonder Emporium,"$69,474,661","$32,061,555",46.1%,"$37,413,106",53.9%
86,Dan in Real Life,"$68,471,669","$47,642,963",69.6%,"$20,828,706",30.4%
87,"Lust, Caution","$67,091,915","$4,604,982",6.9%,"$62,486,933",93.1%
88,August Rush,"$66,122,026","$31,664,162",47.9%,"$34,457,864",52.1%
89,Underdog,"$65,270,477","$43,760,605",67%,"$21,509,872",33%
